Datum;Kategorie;Flugpassagiere;Luftfracht;Flugbewegungen
28.02.2019;Passagierverkehr;20292;1;178
28.02.2019;Fracht Express;0;219;20
28.02.2019;Andere Kategorien;23;0;36
28.02.2019;Fracht Cargo;0;;
01.03.2019;Passagierverkehr;25279;2;214
01.03.2019;Fracht Express;0;138;12
01.03.2019;Andere Kategorien;9;0;11
01.03.2019;Fracht Cargo;0;42;2
02.03.2019;Passagierverkehr;20276;2;161
02.03.2019;Andere Kategorien;5;0;27
02.03.2019;Fracht Express;0;38;5
02.03.2019;Fracht Cargo;0;71;4
03.03.2019;Passagierverkehr;25305;0;200
03.03.2019;Fracht Express;0;;
03.03.2019;Fracht Cargo;0;95;4
03.03.2019;Andere Kategorien;7;0;56
04.03.2019;Passagierverkehr;20886;0;194
04.03.2019;Fracht Express;0;165;13
04.03.2019;Fracht Cargo;0;45;2
04.03.2019;Andere Kategorien;16;0;6
05.03.2019;Passagierverkehr;17385;1;170
05.03.2019;Fracht Express;0;187;20
05.03.2019;Fracht Cargo;0;;
05.03.2019;Andere Kategorien;21;0;58
06.03.2019;Fracht Express;0;193;18
06.03.2019;Fracht Cargo;0;44;2
06.03.2019;Passagierverkehr;16939;0;156
06.03.2019;Andere Kategorien;24;0;51
07.03.2019;Fracht Cargo;0;;
07.03.2019;Fracht Express;0;204;20
07.03.2019;Passagierverkehr;20426;0;191
07.03.2019;Andere Kategorien;16;0;18
08.03.2019;Passagierverkehr;25599;1;216
08.03.2019;Fracht Express;0;156;13
08.03.2019;Andere Kategorien;8;0;53
08.03.2019;Fracht Cargo;0;55;2
09.03.2019;Fracht Cargo;0;102;4
09.03.2019;Andere Kategorien;5;0;12
09.03.2019;Passagierverkehr;20104;1;159
09.03.2019;Fracht Express;0;50;4
10.03.2019;Passagierverkehr;23221;0;186
10.03.2019;Andere Kategorien;2;0;4
10.03.2019;Fracht Express;0;;
10.03.2019;Fracht Cargo;0;71;4
11.03.2019;Passagierverkehr;23052;1;188
11.03.2019;Fracht Express;0;201;13
11.03.2019;Fracht Cargo;0;45;2
11.03.2019;Andere Kategorien;8;0;12
12.03.2019;Passagierverkehr;17780;2;181
12.03.2019;Fracht Cargo;0;;
12.03.2019;Fracht Express;0;189;20
12.03.2019;Andere Kategorien;4;0;89
13.03.2019;Passagierverkehr;16772;0;160
13.03.2019;Fracht Express;0;218;20
13.03.2019;Andere Kategorien;7;0;13
13.03.2019;Fracht Cargo;0;31;2
14.03.2019;Fracht Express;0;223;21
14.03.2019;Fracht Cargo;0;;
14.03.2019;Passagierverkehr;20658;2;188
14.03.2019;Andere Kategorien;9;0;9
15.03.2019;Passagierverkehr;25060;1;218
15.03.2019;Andere Kategorien;0;0;10
15.03.2019;Fracht Express;0;134;13
15.03.2019;Fracht Cargo;0;7;1
16.03.2019;Passagierverkehr;19972;1;173
16.03.2019;Fracht Cargo;0;108;5
16.03.2019;Fracht Express;0;28;4
16.03.2019;Andere Kategorien;8;0;38
17.03.2019;Passagierverkehr;25253;0;195
17.03.2019;Fracht Express;0;;
17.03.2019;Fracht Cargo;0;85;4
17.03.2019;Andere Kategorien;13;0;31
18.03.2019;Fracht Express;0;171;13
18.03.2019;Fracht Cargo;0;53;2
18.03.2019;Passagierverkehr;23160;0;195
18.03.2019;Andere Kategorien;13;0;65
19.03.2019;Fracht Express;0;196;18
19.03.2019;Passagierverkehr;18359;2;176
